record_id,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDMI,NDWI,NBR,hls_image_count,hls_valid_image_count,landslide_target
LS-0194,0.0211188868105758,0.0501257216520903,0.0376608715434002,0.075170006571963,0.210841160709772,0.2718442394216673,0.264455704969415,0.2947617309539457,0.1632251503968455,0.0804757241797685,0.7509171317448707,0.2363340203166989,-0.6810464279372298,0.5332689231633766,380,24,1
LS-0222,0.4705810050200293,0.468803929821003,0.4424807514831903,0.434775604685361,0.4868106485472337,0.5142693778205975,0.4856261954261952,0.5192346382029308,0.3796620252522691,0.2749725470310836,0.0473380124600614,0.1228545731285311,-0.0182359303141301,0.2780941315647152,359,7,1
LS-0226,0.2526402948776409,0.2767387292901656,0.2741643005522621,0.2934531286416373,0.3681021077164714,0.3891667021330494,0.375723843542585,0.3979791862998428,0.3429071490094746,0.2645578000709327,0.1734649905218706,0.048279741928315,-0.170386508619919,0.18030261666184,362,6,1
LS-0278,0.7251100182426268,0.725940245261984,0.6984980642545858,0.6970968987534201,0.7359839262187087,0.7501706293706291,0.7166315090706394,0.747133343468126,0.4311892925914664,0.3079648930779365,0.0128424506991537,0.2486184156634076,0.0063999605040363,0.398789087889774,361,6,1
LS-0286,0.0290841603730548,0.0607899437376451,0.038354087890922,0.0826876172132393,0.2660273049825129,0.3570364995691621,0.3408631658979167,0.3828565816817882,0.2001480967104262,0.089898013077196,0.7869982387548164,0.2557392360905183,-0.6883782623449107,0.5751627784957842,364,6,1
LS-0170,0.6787689824668084,0.6871923685010642,0.6600910408432146,0.6687688000405393,0.7113102310732745,0.7370598662207358,0.7101241208067298,0.7405385527515963,0.5309384108644978,0.3558207053815749,0.0367322958157465,0.1444257195170644,-0.0166435236957742,0.3324140046818478,366,8,1
LS-0171,0.582069250659096,0.5862663911985402,0.5594237578584467,0.5655630348813628,0.6161852970999802,0.6451758010545533,0.6191604644088422,0.6506330916649772,0.4871862553234639,0.3432025400527276,0.0510018303865149,0.1193800875896799,-0.0275427097790271,0.2870105402216021,366,8,1
LS-0172,0.6062986623429266,0.6150107620591811,0.5938956576813944,0.5795808066477501,0.6232212049047428,0.655406814957438,0.6095819314957436,0.6651890808674503,0.5585133563032019,0.433053947101743,0.0130711563308673,0.0437215473417616,0.0044025472928053,0.1693091343060734,366,8,1
LS-0178,0.0220174768577065,0.0503660225605746,0.0386477161211998,0.0790496787900248,0.2224764530325257,0.2721604178258892,0.2672801557994841,0.2992180788102584,0.1918066922960191,0.0976445697809702,0.7459504043471222,0.1632325413552654,-0.6811866997145721,0.4638022111502244,370,14,1
LS-0179,0.022235932049143,0.0530869760857474,0.0365943374285858,0.0862342332777187,0.2645964052783253,0.3317132261489459,0.3265332726629253,0.365709914555842,0.2013573082562312,0.0941542949593002,0.7981507668925538,0.2371929555017402,-0.7199246817932742,0.5526578864806714,370,14,1
